,tweets
17,"[""With their treatment of Afghan refugees after the Taliban's takeover,the #Pakistani authorities have shattered all pretence of brotherly relations with Afghans. This is simply another example. They've once again demonstrated to the🌏that #Pak can't be trusted.\n#DontTrustPakistan https://t.co/jODa51EBrY""]"
18,['@Bajwa_did_it @MohamadMurtaza_ Learn the difference b/w citizens and refugees.Why would a Pakistani go to India 🤦🏾\u200d♂️']
19,['@usembislamabad please schedule more interviews for pakistani families as we are waiting for decades and are about to be aged out please dont give all slots to afghani refugees as it is very unfair to us please listen to us and clear the backlog you people are stuck in dq dates']
20,"['""Rescue us,"" beg Afghan refugee families as they protest their ""slum life"" in a Pakistani park - CBS News https://t.co/lBkPWf85dd']"
21,['Christian Solidarity International and churches are helping 400 Afghan refugees in the Pakistani border towns of Quetta and Chaman after they fled the Taliban.\nRead more… https://t.co/E8Qsoshh3E #Taliban #Christian #Afghan #Pakistan #Refugees #Afghanistan']
22,['Christian Solidarity International and churches are helping 400 Afghan refugees in the Pakistani border towns of Quetta and Chaman after they fled the Taliban.\nRead more… https://t.co/HV2cSmRX8l #Taliban #Christian #Afghan #Pakistan #Refugees #Afghanistan']
23,['Christian Solidarity International and churches are helping 400 Afghan refugees in the Pakistani border towns of Quetta and Chaman after they fled the Taliban.\nRead more… https://t.co/5yE0H428kr #Taliban #Christian #Afghan #Pakistan #Refugees #Afghanistan']
24,['#Christian Solidarity International and churches are helping 400 #Afghan #refugees in the Pakistani border towns of #Quetta and Chaman after they fled the #Taliban. Reports @kamangle #Pakistan #Afghanistan \nhttps://t.co/fhP6TmzqXP']
25,"['Pakistani Hindu refugees fleeing  persecution and genocide in Pakistan do not get citizenship in India after decades, but a Paki muslim is promised citizenship within a few years because she is married to a Indian! We are an Islamic state under Modi govt!https://t.co/whKSBxOWnd']"
26,['@ImranRiazKhan74 @Refugees You Pakistani? The people who helped the Taliban thugs take over the country. Now those people suffer.']
27,['@hamna27 my darling! The Pakistani state took trillions of rupees from the world in the name of these Afghan refugees which were consumed by the generals. These refugees are a source of income for them.\nThe people were just given false lovely pop.']
28,['@usembislamabad you are giving full attention to these afghan refugees and scheduling them so many interview letters and not even a quarter of it to Pakistani people .This is so unfair as we are waiting for decades in this process and now last step is left you are the embassy']
29,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJyLpt']"
30,['@KhaledBeydoun @Adnan15081992 Over thousands of Uyghur refugees who fled their country are in Pakistani jails first rescue them. #UyghurGenocide']
31,"['""The transitional shelter is the flagship project of a Calgary-based charity, the Canadian Pakistani Support Group. The group also helps refugees with settlement and crisis supports, runs activities and programs for youth as well as...""\n\nhttps://t.co/m1i55eGmSq']"
32,"['""Rescue us,"" beg Afghan refugee families as they protest their ""slum life"" in a Pakistani park https://t.co/bEqHmZ4nU2 #afghanistan #pakistan']"
33,"[""Voetsek, time to go home and be informal traders in your own countries. The whole of failed African states,including Pakistani, Bangladeshi wants to be refugees in South Africa. You'll are fake refugees that visits home during holidays. Whey You'll want to force yourselves on us https://t.co/PAVf0lkjnE""]"
34,"[""It shows that ANC's Refugees policy isn't aimed at alleviating Africans' problems of displacement of women &amp; children due to wars &amp;. Rather the policy abetts ANC's insatiable appetite for corruption. Hence Pakistani &amp; Bangladeshi shopkeepers everywhere with assumed names. https://t.co/NMKGdk4dB1""]"
35,"[""EU embassies are by and large not giving too many visit visas to Pakistani applicants these days (many don't give dates for submitting visa applications) - this is happening in part because many are busy processing Afghan refugees which came to Pakistan after Taliban took power""]"
36,"['As usual, @mjdawar being a voice of conscience. \n\nAfghan “refugees” are a رحمت for the Pakistani people, with their رزق being destined in 🇵🇰.\n\nAlmost 80% were born in 🇵🇰. Public policy on Afghans in 🇵🇰 needs to align w society’s values &amp; track record.\n\nhttps://t.co/mf6Q0gDYqz']"
37,['Pakistani police in Islamabad have attacked a group of Afghan refugees who were protesting about their plight. Thousands of Afghans are stranded in limbo in Pakistan since August. Most are asking for refugee status or evacuation to third counties.  https://t.co/7cjDHoWtIg']
38,['Pakistani #human_rights in a glance. #Afghan_Refugees in Islam Abad . #UN https://t.co/JbSMVa4SXD']
39,"['#WorldRefugeeDay celebrations continue across 🇵🇰 this week. \n\nIn Zar Karez Refugee Village, Balochistan, a football ⚽️ game brought @refugees &amp; Pakistani youth together, eagerly cheered on by the community, partners &amp; UNHCR.\n\nHead of Office @ErwinPolicar was on hand to award 🏆 https://t.co/5AxzRX94Uh']"
40,['Pakistani state barbarism against the Afghan refugees continues..The current state of Pakistan is not only oppressive but a tyranny... https://t.co/LX85kEuVg9']
41,"['""Rescue us,"" beg Afghan refugee families as they protest their ""slum life"" in a Pakistani park https://t.co/WqVGqMKkVJ']"
42,['#Pakistani police crack down on #Afghanistan refugees! @UNHumanRights @UNRWA @Refugees https://t.co/kolvfiLsUg']
43,"[""@JustinWelby What do you think about the grooming gang scandal in the north of England where it's estimated that 14,000 young white girls have been raped and abused by men of Pakistani heritage? \nYou've stated sympathy for refugees yet you totally ignore the plight of these English girls.""]"
44,['just silence! Pakistani police crack down on Afghan refugees on Refugee Day What the Taliban did to hundreds of people Is the world deaf and blind?\n@POTUS \n@Malala @mbachelet \n@DeborahLyonsUN \n@LindemanOle https://t.co/nbN3pn75SB']
45,"['The use of violence by Pakistani police during a peaceful demonstration by Afghan refugees is unacceptable. In particular, the use of disproportionate force is absolutely inexcusable.']"
46,['Pakistani police in Islamabad have attacked a group of Afghan refugees who were protesting about their plight. Thousands of Afghans are stranded in limbo in Pakistan since August. Most are asking for refugee status or evacuation to third counties. @a_siab @mjdawar @bbcpashto https://t.co/HrPp0HF5dG']
47,"['@ainyrockstar In Turkey situation is worse but when we said we don’t want to be your border gate for Arab refugees, Europe says you’re racist, are we now? :):):):))) there is at least 5 million anti-secular Arab/Afganian/Pakistani in our country, they are raping our women, it’s your turn ha']"
48,['This is how the Pakistani military supports the advocacy of Afghan refugees. https://t.co/JHnaX250vn']
49,['The story of Afghan refugees in Pakistan: Pakistani police treat Afghan refugees in this country inhumanely and beat protesters. https://t.co/Vdo85v6XfZ']
50,"['Goal! A friendly football match between refugees and Pakistani youths in Zar Karez refugee village to celebrate World Refugee Day. Honoured to award the trophies together with the community elders. As one community, we are all winners. #UNHCRPakistan https://t.co/cpvmKflm3n']"
51,"['Afghan refugees have been protesting in the Pakistani city of Islamabad for months.\nInstead of justice, the protesting refugees were severely beaten today and their peaceful protest is being ended. Requests notice from international refugees agencies\n@Refugees @UN https://t.co/KgtldJj2HY']"
52,"['""Rescue us,"" beg Afghan refugee families as they protest their ""slum life"" in a Pakistani park https://t.co/XfE9GVrssb #Afghanistan #Taliban #News']"
53,['Australia Celebrating Refugees week when will you celebrate your students who come leave their homes to build your homes when will you realize the amount of pain a student pass through make a selfassessment &amp; take out some heart to appreciate Pakistani students who still hopeful']
54,"[""@Big_guy_101 @ANI If we can liberate Bangladesh from Pakistan,then this was possible too.\nThis was a situation that was very similar to Bangladesh, except refugees didn't come to India! Pakistan created the Taliban, and we could have helped Afghanistan by freeing them from Pakistani proxies.""]"
55,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/gTBL5v6zvu']"
56,"[""@Ashtalakshmi8 @Llb30852080 @ANI If that is the case,We could never have liberated Bangladesh from Pakistan.\nThis was a situation that was very similar to Bangladesh, except refugees didn't come to India! Pakistan created the Taliban, and we could have helped Afghanistan by freeing them from Pakistani proxies..""]"
57,"['@Iasen_Kostov @ragipsoylu It would be more and more fun if we see millions of Syrian, Afghan and Pakistani refugees marching through European capitals.']"
58,"['@TexasRed1992 @ramazan11421755 @AnonOpsSE Currently, our country is going to hell by Arab, Pakistani, Afghan, and similar refugees, our economy is collapsing, the purchasing power of the people is almost non-existent, and we are aware of everything.  Not all people are stupid, there are those who are aware of everything.']"
59,"[""@zinarmohamed22 @MarkCutts @AcarUmut But also some ppl spreading liars,they doesn't talking about Türkiye doing safe place to Esed and terrorist PKK YPG PYD can not kill arabic Kurdish and Türkmen ppl in this safe place.\nTürkiye having 8 millions refugees with Afghan Pakistani and many african and assian.""]"
60,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJha0T']"
61,"['@rejitweets @Padavalamkuttan Mr.Rejimon Kuttappan is vocal about the  Pakistani, Lankan, and Rohingian refugees. No mention about the Kashmiri refugees. Intention is clear. Good.']"
62,"['@usembislamabad pakistani families are waiting since ages to reunite with their relatives, backlog is so huge, people are aging out but you are only issuing letters to  afghan refugees its really unfair to us . Equally schedule interviews for pakistani family immigrant cases']"
63,"['@ClareDalyMEP @MargSchinas Well we (since you see us as the bad guy and the EU as the nice guy) are happy to send 4.5mil Syrians (and some additional Afghan and Pakistani men) to the EU. If there  would be a referendum in Turkey to give the refugees to the EU, trust me, no one would vote for: no.']"
64,"['Nobody chooses to leave their home. \n\nThat goes for people coming to the US border, the Pakistani border, the Polish border, the Mediterranean Sea to reach the UK, Italy or France. @Refugees @NatImmForum @abarafrontiers']"
65,"['@CMShehbaz Please add Pakistani too in this list, they are also refugees in their own country, because of you the dirty politicians, all corrupts are always there in powers; (Your fathers) But thats the general routine of this country.']"
66,"['Thread:\nAmid the withdrawal of U.S. and NATO forces from Afghanistan, and the Taliban takeover of power in August 2021, a large number of Afghan refugees crossed the Pakistani border. Between January 2021 and February 2022, UNHCR documented 117 547 new arrivals from Afghanistan.. https://t.co/nhMDoyYlOb']"
67,"['[New] Taliban’s latest clashes with Pakistani officials along the border have muddled the scenario for Afghans as Pakistan dreads a refugee incursion and consequent spread of extremism, argues our researcher @FarehaIqtidar.\n\n#WorldRefugeeDay2022\n\nhttps://t.co/UVj29ahTpE https://t.co/2FXvNZ5TPP']"
68,"['Jun 20, 2022 18:05  IST\n\n            Islamabad , June 20 (AF): Pakistan is allegedly selling its visas in the black market, charging the already overburdened Afghan refugees over USD 1,000 seeking shelter in the country amidst the Taliban takeover of\n\nhttps://t.co/6xJgYEIWCI https://t.co/xxD7mWyz3o']"
69,['@iamthedrifter @somnath1978 If hindutva is so bad why Rohingya aliens want to come to India ?\nIndia has lakhs of pak hindu refugees.\nHow many indian muslim refugees do you see in  Pakistan ?\nAverage hindutva guy always more liberal than even moderate Pakistani like you']
70,['Guys anyone here in touch with the Jodhpur District Collector? \n\nNeed help for Pakistani Hindu refugees in Jodhpur. 🙏']
71,"[""@UNHCRPakistan @GovtofPakistan @Refugees Refugees have created so many problems for &amp; in Pakistan.. At one side Afgani's feel Paksitan is responsible for there home country's problem and are used agains Pakistani state. At other they have moved from camps to cities. There business is moslty illegal arms, norcotics...""]"
72,"['On #WorldRefugeeDay2022, HAI is pleased to publish its ""Handbook for arrival of New Pakistani Refugee"". The handbook also contains rights &amp; entitlements of these refugees in India. @seriousfunnyguy @sssingh21 \n\nhttps://t.co/lBm9p3TZBM']"
73,"['In Pakistan, Afghan and Pakistani citizen journalists find stories relevant and critical to both long-term and newly arrived Afghan refugees – a demographic overlooked by the country’s mainstream media.\n\n#RefugeeDay @Refugees\n\nhttps://t.co/lByLVQZpZh']"
74,['@CMShehbaz Pakistani are made refugees in our own country by You Mr.cherry blossom and your cabal of crooks..\n#امپورٹڈ_حکومت_نامنظور']
75,"['#WorldRefugeeDay Pakistani government was working with the collaboration of UNHCR, however (unluckily), this cooperation could not live beyond a decade following the arrangements of refugees in Pakistan, which required permanent support.']"
76,['#WorldRefugeeDay The main effort of the Pakistani government remains to make these refugees responsible and capable people so that they serve their country well upon their return..']
77,"['#WorldRefugeeDay The main effort of the Pakistani government remains to make these refugees responsible and capable people so that they serve their country well upon their return.,']"
78,['#WorldRefugeeDay The main effort of the Pakistani government remains to make these refugees responsible and capable people so that they serve their country well upon their return. https://t.co/UkI7ZeYov2']
79,['@CMShehbaz What baffles International community is when they see well educated &amp; qualified Pakistani nationals like me living like Refugees\n@BBhuttoZardari should handle the foreign refugees issue\nI have again informed @RudyGiuliani to make sure I get my $3 million without #FATF criticism']
80,['The presence of Afghan Refugees in Pakistan has had a profound effect on the Pakistani population. \n#WorldRefugeeDay https://t.co/tRO0ym8KZm']
81,['#WorldRefugeeDay The main effort of the Pakistani government remains to make these refugees responsible and capable people so that they serve their country well upon their return.']
82,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJha0T']"
83,['My sister called my son’s mother in law the wrong name for hours at an event for hair and make up paid for her despite having heard us say it for a week and having texts from and about her. She also used a LOT of casual racism. She works with Indian and Pakistani refugees. 1/2']
84,"['Honouring Cardinal Collins for his commitment to refugees. Chaldeans, Syriacs, Coptic, Eritrean, Armenian and Pakistani Catholic and Orthodox Christians paid tribute to his eminence. @archtoronto https://t.co/QukYsIsZXt']"
85,"['How Pakistan engages with the world:\n\n🔹Pakistani refugees in 🇹🇷 behave vulgarly with Turkish women, prompting the citizens to run #pakistaniperverts \n🔹Kidnapping of tourists in other countries.\n🔹Get arrested in Italy for terror activities.\n🔹Now, stealing vehicles in SA. https://t.co/ABlJzT4Dn0 https://t.co/TBlbTPSv70']"
86,"[""Referring to the arrival of 250,000 Afghan refugees in the past 10 months, Qaisar Afridi, the agency's deputy director, said talks were under way with the Pakistani government to register new migrants.""]"
87,"['@SeharKamran Dear Sehar Kamran,Im big fan of you from Turkey. Please visit Turkey and see Pakistani refugees.They are creating conflict in Turkish secular community.Please fix that problem. They are stealing our jobs and stealing peace from streets We dont want to hate from them.Long Live🇹🇷🇵🇰']"
88,"['Using the arguments, logic &amp; racist views of many Tory supporters of Rwanda, there must be a real internal conflict in their minds having a Ugandan Asian Home Secretary dancing to their baying calls to deport refugees or Pakistani health minister begrudging them Healthcare in Uk https://t.co/LSk7rGd1u9']"
89,"['@Von_Poopshtafle CNN interviewed Iraqi, Syrian, Afghani, Pakistani and random Abumba refugees in Sweden on whether Sweden should join Nato.\n\nAll of them said no 😂']"
90,"['@DivyaSingh023 @DrGauravGarg4 BTW i m a Dogra and we have served a lot and always ready to Join Army..But we never made fun of the people who were persecuted...We rather gave shelter to Minorities who came after persecution whether KP,Mirpuris,Buddhists,West Pakistani Refugees etc...\nShame on You']"
91,"['It took one day, just one day of hardcore violence for his office and babus to put out a correction on the agnipath scheme.\n\nMore litmus tests like this will appear in the future. I think by pattern, the Pakistani Hindu refugees would be much better off if they follow suit.']"
92,['@smitaprakash They will be safe but live a deplorable life as Pakistani-Hindu refugees are living in several camps in Delhi.']
93,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJha0T']"
94,"['@RituRathaur @DrSJaishankar This government has become such a shame ! Never takes up plight of Hindus in Pakistan or Bangladesh ! Infact due to negligence of great , greatest @AmitShah @HMOIndia , many Hindu refugees still have to renew their PAK passports from India ! https://t.co/S8Rt4OxQuT']"
95,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/gTBL5uOY6U']"
96,['@JUSTLFC2 @SecKermani https://t.co/QqFqEvK895\nYeh bhi par le....Tune to CAA ko support kia tha....Shame on people like you...']
97,['@AllyH99 Dead cat bounce made a comments insinuating that Pakistani groomers were THE other option to Ukrainian refugees.\nI found that disturbing knowing many asylum seekers and migrants from troubled areas.']
98,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJha0T']"
99,"['Stating that the twin UTs of #JammuAndKashmir and #Ladakh have a major role in ""new India"", he said the #BJP-led government took a number of steps for the welfare of the displaced people, whether they are West Pakistani refugees, #PoJK residents or Chamb migrants.']"
100,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/gTBL5uOY6U']"
101,['@LucySmi88574164 @Femi_Sorry @EleriTudor Checked . British Pakistani (mostly ) not refugees in dinghies . By all means shoot the lot of them - but don’t go blaming innocent desperate people for what they did . Would be like blaming all English white blokes for Saville and glitter']
102,['@LucySmi88574164 @Femi_Sorry @EleriTudor I could pick up any newspaper and read about tories doing the same . I think you’re referring to Rotherham - there they weren’t refugees or even devout Muslims . Just Bangladeshi / Indian / Pakistani scum . You know an immigrant is less likely to be involved with crime ?']
103,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJyLpt']"
104,['#Hindu_Lives_Matter\nEvery Hindu needs to participate in the mission of obtaining Indian citizenship for Pakistani Hindus !\n\nAn organization named ‘Nimittekam’ is helping Pak Hindu refugees to get Indian citizenship.\n\n#Hindu_Lives_Matter https://t.co/ftnil5LzWR']
105,['@benhabib6 @TalkTV @GBNEWS @pritipatel Pakistani born man states ‘send refugees to Rwanda.’']
106,['@soldierspeaks What they will do with this hadi  when they soon have no country and keep this in mind no one in world take  pakistani  as refugees  if any thing happen  wake up pakistani  or go to hell 😔']
107,"[""Pakistan refugees don't come Turkey. There is no sharia state. And we are Republic. Also dont take video when you come to Turkey this behaviour is pervert person behaviour. Otherwise we will punish you. #Pakistani #pakistaniperverts""]"
108,['@KellyTClements @BBhuttoZardari @Refugees @IndrikaRatwatte @UNHCRPakistan @UNHCRAsia Dear Pakistani’s &amp;specifically frm interior sindh Please Please RAISED your Voice against INJUSTICE &amp; EXTREME HUMAN RIGHTS VIOLATIONS in SINDH because this lady @KellyTClements praisingتعریف @BBhuttoZardari &amp; @PPP_Org govt @MediaCellPPP for protecting human rights in Pakistan🇵🇰?']
109,['Letter from Home Ministry addressed to HJS amongst others to discuss the problems of Pakistani Hindu Refugees in connection with long term visas and citizenship issues\n\n#Hindu_Lives_Matter https://t.co/MBU4OIL4J4 https://t.co/1nT8A13pfg']
110,['Letter from Home Ministry addressed to HJS amongst others to discuss the problems of Pakistani Hindu Refugees in connection with long term visas and citizenship issues\n\n#Hindu_Lives_Matter https://t.co/gO5flHszHw']
111,['Letter from Home Ministry addressed to HJS amongst others to discuss the problems of Pakistani Hindu Refugees in connection with long term visas and citizenship issues\n\n#Hindu_Lives_Matter https://t.co/NfnEpC8SZa']
112,"['Thousands of Afghans crossed the border at Chaman in the days after the Taliban takeover. Many of them are still in Pakistan and subject to being labelled ""illegal immigrants"" as UNHCR won\'t register new Afghan refugees, in line with Pakistani govt policy. https://t.co/Vwfe7YuprD']"
113,['#Hindu_Lives_Matter\n\nBROKEN PROMISES\n👇\nIndia may not be the safe haven it wants to be for #Pakistani #Hindus\n\nIndia has reportedly been unable to provide a safe haven to a significant number of Hindu refugees from Pakistan.\n🎤Reporter\xa0Manavi Kapur https://t.co/tKeRMCBAIM']
114,['Letter from Home Ministry addressed to HJS amongst others to discuss the problems of Pakistani Hindu Refugees in connection with long term visas and citizenship issues\n\n#Hindu_Lives_Matter https://t.co/weZnqgearA']
115,"['Every Hindu needs to participate in the mission of obtaining Indian citizenship for Pakistani Hindus !\n\n -Shri. Jay Ahuja, President, ‘Nimittekam’, Jaipur, Rajasthan!\n\nAn organization named ‘Nimittekam’ is helping Pak Hindu refugees to get Indian citizenship!\n\n#Hindu_Lives_Matter https://t.co/bko7QVao9J']"
116,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJha0T']"
117,"['Every Hindu needs to participate in the mission of obtaining Indian citizenship for Pakistani Hindus !\n\n -Shri. Jay Ahuja, President, ‘Nimittekam’, Jaipur, Rajasthan.\n\nAn organization named ‘Nimittekam’ is helping Pak Hindu refugees to get Indian citizenship.\n\n#Hindu_Lives_Matter https://t.co/WaFGZx0CeL']"
118,"['#Every Hindu needs to participate in the mission of obtaining Indian citizenship for Pakistani Hindus !\n\n -Shri. Jay Ahuja, President, ‘Nimittekam’, Jaipur, Rajasthan.\n\nAn organization named ‘Nimittekamis helping Pak Hindu refugees to get Indian citizenship.\n\n#Hindu_Lives_Matter https://t.co/Wdxeln8DIR']"
119,"['Every Hindu needs to participate in the mission of obtaining Indian citizenship for Pakistani Hindus !\n\n -Shri. Jay Ahuja, President, ‘Nimittekam’, Jaipur, Rajasthan.\n\nAn organization named ‘Nimittekam’ is helping Pak Hindu refugees to get Indian citizenship.\n\n#Hindu_Lives_Matter https://t.co/RKjzxxT3Bt']"
120,"['Every Hindu needs to participate in the mission of obtaining Indian citizenship for Pakistani Hindus !\n\n -Shri. Jay Ahuja, President, ‘Nimittekam’, Jaipur, Rajasthan.\n\nAn organization named ‘Nimittekam’ is helping Pak Hindu refugees to get Indian citizenship.\n\n#Hindu_Lives_Matter https://t.co/apYXoGUXI6']"
121,['Letter from Home Ministry addressed to HJS amongst others to discuss the problems of Pakistani Hindu Refugees in connection with long term visas and citizenship issues\n\n#Hindu_Lives_Matter https://t.co/3kAWN5rDpV']
122,"['@SherKhnJatt01 Pass of being Pakistani. If a Pashtun nat said that statement then he would be deemed as ""afghan"" and not ""pakistani"". Example: PTM members being labeled as ""refugees"" when they are from Pakistan. However, no one en mass is accusing that person of being Indian or Afghan.']"
123,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/gTBL5uOY6U']"
124,['We call upon @antonioguterres @hrw @Refugees @amnesty to interven and put pressure on Pakistani govt to stop humiliation of Afghan Refugees at Durand Lane crossings\nMost of these people have all legal documents&amp; visas but still denied to cross the border!\n#HumiliationATCheckposts https://t.co/yylFYWO6TZ']
125,['@ManzoorPashteen We call upon @antonioguterres @hrw @Refugees @amnesty to interven and put pressure on Pakistani govt to stop humiliation of Afghan Refugees at Durand Lane crossings\nMost of these people have all legal documents&amp; visas but still denied to cross the border!\n#HumiliationATCheckposts']
126,"['@ACLAorg @evynelevyn @8vinhnguyen @MahumAneeq @oliviaUCSD 2nd: @MahumAneeq""To the Editor: Partition Refugee Relief &amp; the Making of the \'Pakistani Muslim Citizen\' in Punjab""-scholarly analysis of letters to the editor during Partition of Punjab to see how dialectic b/t refugees &amp; locals shaped construct of ""good Pakistani Muslim citizen""']"
127,"[""Constructive conversation with Pakistani Ambassador @Masood__Khan today to discuss human rights and Pakistan's critical support for Afghan relocation efforts and refugees. I Look forward to our close partnership. 🇺🇸🇵🇰 https://t.co/74EPmtE74L""]"
128,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/dE3Slh1P4M']"
